X1,Y1,Z1,X2,Y2,Z2
417,682.5,138.75,436.5,718.5,120
436.5,718.5,120,414,726,75
436.5,718.5,120,457.5,768,161.25
457.5,768,161.25,486,777,153.75
486,777,153.75,496.5,792,108.75
496.5,792,108.75,493.5,795,86.25
493.5,795,86.25,495,816,30
493.5,795,86.25,555,838.5,86.25
555,838.5,86.25,585,771,48.75
585,771,48.75,577.5,738,67.5
577.5,738,67.5,558,684,93.75
558,684,93.75,564,661.5,112.5
564,661.5,112.5,564,631.5,82.5
564,631.5,82.5,568.5,621,30
564,631.5,82.5,579,648,45
579,648,45,583.5,646.5,30
579,648,45,615,696,75
615,696,75,628.348633,691.686096,49.075272
628.348633,691.686096,49.075272,637.5,673.5,82.5
637.5,673.5,82.5,662.938477,655.666626,50.094105
662.938477,655.666626,50.094105,685.5,673.5,48.75
685.5,673.5,48.75,705,690,52.5
705,690,52.5,740.251282,725.084839,54.31308
740.251282,725.084839,54.31308,745.5,735,82.5
745.5,735,82.5,726,778.5,86.25
726,778.5,86.25,721.5,783,86.25
721.5,783,86.25,725.450317,795.7323,57.99173
725.450317,795.7323,57.99173,726,808.5,90
726,808.5,90,735,808.5,90
735,808.5,90,756,801,82.5
756,801,82.5,733.5,783,90
733.5,783,90,735,808.5,90
756,801,82.5,775.5,819,90
775.5,819,90,810,832.5,86.25
810,832.5,86.25,823.5,847.5,60
823.5,847.5,60,874.5,817.5,108.75
874.5,817.5,108.75,919.5,837,78.75
919.5,837,78.75,925.025574,847.129272,37.900272
925.025574,847.129272,37.900272,952.5,819,30
919.5,837,78.75,903,904.5,75
903,904.5,75,877.5,948,52.5
877.5,948,52.5,889.5,960,30
877.5,948,52.5,871.5,957,60
871.5,957,60,868.5,955.5,63.75
868.5,955.5,63.75,864,939,86.25
864,939,86.25,826.5,919.5,56.25
826.5,919.5,56.25,816,943.5,30
826.5,919.5,56.25,800.429077,880.613037,32.717518
800.429077,880.613037,32.717518,820.5,855,82.5
820.5,855,82.5,823.5,847.5,60
820.5,855,82.5,828,856.5,108.75
828,856.5,108.75,826.5,853.5,120
826.5,853.5,120,903,904.5,75
826.5,853.5,120,817.5,850.5,142.5
817.5,850.5,142.5,810,832.5,86.25
817.5,850.5,142.5,787.5,883.5,127.5
787.5,883.5,127.5,828,856.5,108.75
787.5,883.5,127.5,751.5,889.5,146.25
751.5,889.5,146.25,814.294861,898.576599,149.999847
814.294861,898.576599,149.999847,831,925.5,135
831,925.5,135,865.934265,946.081848,122.166512
865.934265,946.081848,122.166512,864,939,86.25
831,925.5,135,802.5,933,120
802.5,933,120,762.079041,874.655945,49.959423
762.079041,874.655945,49.959423,765,831,105
765,831,105,775.5,819,90
765,831,105,730.5,829.5,153.75
730.5,829.5,153.75,706.5,814.5,202.5
706.5,814.5,202.5,661.5,829.5,172.5
661.5,829.5,172.5,654,822,150
654,822,150,666,820.5,123.75
666,820.5,123.75,646.5,802.5,93.75
646.5,802.5,93.75,636,801,86.25
636,801,86.25,621.157959,808.507874,51.499454
621.157959,808.507874,51.499454,595.5,783,52.5
595.5,783,52.5,585,771,48.75
595.5,783,52.5,601.5,772.5,86.25
601.5,772.5,86.25,624,790.5,90
624,790.5,90,636,801,86.25
624,790.5,90,601.5,772.5,86.25
601.5,772.5,86.25,597,769.5,97.5
597,769.5,97.5,592.5,762,105
592.5,762,105,577.5,738,67.5
592.5,762,105,570,733.5,116.25
570,733.5,116.25,520.230347,737.385315,151.41803
520.230347,737.385315,151.41803,492,697.5,213.75
492,697.5,213.75,483,688.5,191.25
483,688.5,191.25,475.5,678,131.25
475.5,678,131.25,459,651,86.25
459,651,86.25,439.5,645,30
459,651,86.25,467.85495,713.186462,76.109886
467.85495,713.186462,76.109886,489.229034,725.544434,101.809448
489.229034,725.544434,101.809448,535.5,759,93.75
535.5,759,93.75,531,766.5,93.75
531,766.5,93.75,523.5,772.5,105
523.5,772.5,105,531,766.5,93.75
523.5,772.5,105,496.5,792,108.75
523.5,772.5,105,543,768,123.75
543,768,123.75,547.5,766.5,112.5
547.5,766.5,112.5,535.5,759,93.75
547.5,766.5,112.5,597,772.5,105
597,772.5,105,591,790.5,112.5
591,790.5,112.5,552,805.5,153.75
552,805.5,153.75,513,798,206.25
513,798,206.25,486,777,153.75
513,798,206.25,501,807,240
501,807,240,490.5,819,217.5
490.5,819,217.5,493.5,835.5,202.5
493.5,835.5,202.5,522.654968,851.50708,135.5383
522.654968,851.50708,135.5383,543,867,146.25
543,867,146.25,552,859.5,123.75
