Node,X,Y,Z
734,400.5,774,138.75
735,417.854218,803.408325,114.104195
736,390.633789,839.536011,76.640228
737,375,889.5,90
738,340.5,913.5,30
739,397.5,885,116.25
740,393,883.5,146.25
741,376.5,916.5,161.25
742,357,949.5,120
743,336,925.5,97.5
744,331.5,904.5,112.5
745,306,870,78.75
746,303,876,30
747,288,868.5,105
748,240,871.5,105
749,213,870,78.75
750,207,853.5,75
751,200.778427,803.373779,70.186623
752,211.5,789,30
753,195,862.5,56.25
754,195,874.5,48.75
755,195,873,30
756,208.5,874.5,71.25
757,187.5,906,82.5
758,153,847.5,56.25
759,145.5,846,56.25
760,224.168167,901.796265,111.919029
761,194.267639,951.690247,100.528404
762,240,948,86.25
763,247.5,895.5,30
764,253.5,955.5,101.25
765,270,933,168.75
766,304.5,918,127.5
767,330,949.5,165
768,346.5,955.5,138.75
769,357,969,165
770,337.5,988.5,135
771,345.215942,1006.378479,54.857895
772,349.5,1020,127.5
773,378.601562,979.474731,120
774,318,1026,142.5
775,228,963,172.5
776,219.813873,948.379272,150.097824
777,174,849,157.5
778,174,822,157.5
779,165,805.5,146.25
780,177,789,135
781,163.5,771,97.5
782,142.5,771,86.25
783,130.5,780,75
784,105,753,30
785,121.5,838.5,75
786,156,738,82.5
787,123,738,52.5
788,178.5,751.5,105
789,229.5,684,97.5
790,204,642,101.25
791,159,631.5,48.75
792,213,627,105
793,271.37265,679.166687,88.041656
794,234,693,112.5
795,231,694.5,120
796,211.5,751.5,138.75
797,216,757.5,135
798,201.934616,806.098206,120
799,255,729,180
800,271.105103,681.290161,256.977356
801,258,639,273.75
802,261,631.5,288.75
803,264,627,285
804,273,615,232.5
805,283.5,606,213.75
806,309,657,176.25
807,359.185852,649.599915,168.269623
808,409.5,654,105
809,399,646.5,30
810,420,676.5,146.25
811,427.5,687,206.25
812,402,670.5,228.75
813,378,661.5,240
814,373.5,655.5,243.75
815,361.5,652.5,225
816,354,646.5,236.25
817,292.5,600,251.25
818,280.5,598.5,262.5
819,367.5,646.5,258.75
820,369,630,285
821,378,610.5,311.25
822,382.5,615,322.5
823,385.5,639,311.25
824,384,643.5,300
825,387,648,292.5
826,399,660,300
827,433.5,691.5,292.5
828,418.5,699,262.5
829,397.5,682.5,255
830,372,666,266.25
831,370.5,670.5,255
832,354.118225,679.3302,226.914246
833,366,672,288.75
834,384.027435,727.480164,270.156982
835,423,715.5,262.5
836,445.5,748.5,251.25
837,459,759,243.75
838,453,772.5,262.5
839,456,777,262.5
840,498,808.5,251.25
841,556.5,817.5,221.25
842,564,822,161.25
843,565.5,828,153.75
844,592.5,823.5,123.75
845,604.5,813,138.75
846,643.5,819,146.25
847,564,838.5,150
848,565.5,850.5,172.5
849,565.5,852,165
850,578.666504,857.906799,194.618713
851,584.355713,943.886719,193.497025
852,604.5,963,172.5
853,607.5,970.5,127.5
854,615,967.5,116.25
855,573,919.5,97.5
856,544.5,961.5,82.5
857,541.5,972,63.75
858,549,976.5,30
859,532.5,996,123.75
860,526.5,982.5,146.25
861,538.5,982.5,138.75
862,566.167847,951.929077,149.542801
863,550.441223,917.015381,130.295532
864,504,994.5,157.5
865,472.5,1020,30
866,502.5,997.5,165
867,490.5,1009.5,165
868,538.807739,1057.663696,135.060608
869,583.5,1039.5,112.5
870,580.5,1030.5,108.75
871,548.511108,1021.312744,71.188339
872,553.5,1035,30
873,464.292542,990.553223,187.494553
874,486,949.5,210
875,520.227295,946.600525,187.343735
876,502.5,939,138.75
877,480.268951,914.457458,116.570198
878,486,924,30
879,525,952.5,105
880,487.5,963,30
881,445.5,943.5,213.75
882,442.5,930,198.75
883,430.5,928.5,176.25
884,408.28479,894.002136,177.437866
885,361.5,964.5,172.5
886,357,966,202.5
887,318,1029,157.5
888,300,1077,138.75
889,274.098724,1065.567627,139.922318
890,256.5,1063.5,198.75
891,253.5,1062,191.25
892,240,1044,165
893,237,1039.5,142.5
894,274.5,1023,93.75
895,278.181274,1068.545776,104.56266
896,274.5,1093.5,71.25
897,271.5,1098,30
898,295.219208,1070.830688,56.61536
899,319.5,1053,86.25
900,328.5,1096.5,30
901,328.5,1074,120
902,376.5,1122,105
903,390.553925,1076.177734,46.976711
904,306,1057.5,30
905,439.5,1113,153.75
906,451.5,1099.5,112.5
907,442.5,1129.5,30
908,457.5,1147.5,135
909,378,1161,120
910,337.5,1179,112.5
911,328.5,1165.5,123.75
912,309.164429,1144.32019,67.633919
913,259.5,1152,30
914,297,1174.5,138.75
915,294,1134,142.5
916,291,1111.5,120
917,303,1081.5,135
918,292.297943,1096.627563,183.522354
919,291,1128,183.75
920,263.483612,1170.855103,181.542862
921,231,1215,123.75
922,226.5,1216.5,112.5
923,220.5,1215,86.25
924,231,1198.5,90
925,235.5,1179,105
926,222,1171.5,86.25
927,211.5,1194,45
928,210,1189.5,30
929,154.704636,1146.609009,85.847046
930,160.5,1129.5,56.25
931,153.621918,1121.150513,30.676136
932,127.5,1060.5,30
933,183,1096.5,75
934,196.5,1083,60
935,188.661819,1048.942383,80.327934
936,163.5,1056,101.25
937,157.5,1044,127.5
938,172.5,1009.5,135
939,106.541473,979.110474,82.275551
940,231,1020,206.25
941,244.5,1008,243.75
942,249.124283,1002.504639,294.288147
943,235.5,978,296.25
944,232.5,954,198.75
945,175.5,910.5,202.5
946,166.5,906,195
947,162,900,176.25
948,168,937.5,228.75
949,169.5,946.5,225
950,165,936,232.5
951,165,910.5,266.25
952,175.5,870,251.25
953,226.5,858,206.25
954,178.5,822,165
955,189,795,165
956,186,786,157.5
957,196.5,786,165
958,216,768,157.5
959,231,798,176.25
960,229.5,790.5,195
961,249,780,228.75
962,312,750,266.25
963,346.804596,750.76123,259.503418
964,355.5,774,285
965,326.343475,757.932861,311.697357
966,337.5,721.5,330
967,366,688.5,307.5
968,394.5,729,333.75
969,409.5,744,326.25
970,436.5,748.5,300
971,445.5,706.5,322.5
972,448.5,699,296.25
973,489,715.5,296.25
974,505.5,745.5,288.75
975,507,744,270
976,546,765,266.25
977,556.5,772.5,258.75
978,568.5,805.5,210
979,597,766.5,232.5
980,601.5,763.5,232.5
981,597,741,228.75
982,607.5,765,240
983,622.5,762,236.25
984,625.5,717,213.75
985,607.5,709.5,146.25
986,619.5,703.5,255
987,603,700.5,292.5
988,612,712.5,292.5
989,633,757.5,281.25
990,619.5,780,258.75
991,628.5,793.5,243.75
992,630,801,240
993,633,810,225
994,610.810547,848.494141,184.624817
995,625.5,897,180
996,630,904.5,191.25
997,628.5,909,183.75
998,631.5,912,176.25
999,683.040527,943.873047,92.800758
1000,693.454529,902.254272,75.471664
1001,682.5,961.5,176.25
1002,712.5,940.5,153.75
1003,783,991.5,105
1004,790.5,988.5,30
1005,801.182922,990.112549,134.670593
1006,840,996,123.75
